Postalcode,Borough,Neighborhood,Latitude,Longitude
M1B,Scarborough,"Rouge, Malvern",43.81153000000006,-79.19551999999999
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.78564000000006,-79.15870999999999
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.765750000000025,-79.17519999999996
M1G,Scarborough,Woburn,43.768200000000036,-79.21760999999998
M1H,Scarborough,Cedarbrae,43.769690000000026,-79.23943999999995
M1J,Scarborough,Scarborough Village,43.74309000000005,-79.23525999999998
M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.72861000000006,-79.26366999999993
M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",43.714060000000075,-79.28411999999997
M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.72360000000003,-79.23495999999994
M1N,Scarborough,"Birch Cliff, Cliffside West",43.69539000000003,-79.26193999999998
M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.75998000000004,-79.26836999999995
M1R,Scarborough,"Maryvale, Wexford",43.750710000000026,-79.30055999999996
M1S,Scarborough,Agincourt,43.79394000000008,-79.26710999999995
M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.784730000000025,-79.29936999999995
M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.817810000000065,-79.28023999999994
M1W,Scarborough,L'Amoreaux West,43.80052000000006,-79.32073999999994
M1X,Scarborough,Upper Rouge,43.83422000000007,-79.21669999999995
M2H,North York,Hillcrest Village,43.802850000000035,-79.35620999999998
M2J,North York,"Fairview, Henry Farm, Oriole",43.780970000000025,-79.34780999999998
M2K,North York,Bayview Village,43.78102000000007,-79.38059999999996
M2L,North York,"Silver Hills, York Mills",43.757220000000075,-79.37973999999997
M2M,North York,"Newtonbrook, Willowdale",43.79135000000008,-79.41355999999996
M2N,North York,Willowdale South,43.76714000000004,-79.40706999999998
M2P,North York,York Mills West,43.747870000000034,-79.40028999999998
M2R,North York,Willowdale West,43.77991000000003,-79.44677999999999
M3A,North York,Parkwoods,43.75188000000003,-79.33035999999998
M3B,North York,Don Mills North,43.74929000000003,-79.36168999999995
M3C,North York,"Flemingdon Park, Don Mills South",43.72184000000004,-79.34339999999997
M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights",43.74809000000005,-79.44400999999993
M3J,North York,"Northwood Park, York University",43.76467000000008,-79.48717999999997
M3K,North York,"CFB Toronto, Downsview East",43.73903000000007,-79.46731999999997
M3L,North York,Downsview West,43.741070000000036,-79.51079999999996
M3M,North York,Downsview Central,43.73355000000004,-79.49679999999995
M3N,North York,Downsview Northwest,43.75666000000007,-79.51971999999995
M4A,North York,Victoria Village,43.73042000000004,-79.31281999999999
M4B,East York,"Woodbine Gardens, Parkview Hill",43.707940000000065,-79.31159999999994
M4C,East York,Woodbine Heights,43.68970000000007,-79.30679999999995
M4E,East Toronto,The Beaches,43.67703000000006,-79.29541999999998
M4G,East York,Leaside,43.70909000000006,-79.36409999999995
M4H,East York,Thorncliffe Park,43.70127000000008,-79.34979999999996
M4J,East York,East Toronto,43.68811000000005,-79.33417999999995
M4K,East Toronto,"The Danforth West, Riverdale",43.68375000000003,-79.35527999999994
M4L,East Toronto,"The Beaches West, India Bazaar",43.667970000000025,-79.31467999999995
